source,target
2015Geetanjali,henri_zuber
LetsWebShop,DuurzameD
LetsWebShop,DuurzameD
WaterenGroen,VitaleGroenStad
EWat98,Valentine_D_
carlafitness21,henri_zuber
howardlweaver,henri_zuber
venezia_56,henri_zuber
plazadren,henri_zuber
CoquetteEric,henri_zuber
Wangenstein,henri_zuber
FransVera,vancalmthout
guuswillemsen,KeesvDaalen
Peter_Voshol,RoelClement
pimbrussee,rodewijntjes
MichielvZuijlen,riffyyyyy
DirkVansintjan,bronsgroenlim
Janlambr,Simon_Rozendaal
TomasFriedhoff,LokoCartoons
LouisBolk,RoelClement
clemensis,verkeersnet
BionextTweets,RoelClement
Evert_MD,olino_duurzaam
De_Goede_Fee,DrBertSmits
Steutel4GBLV,ADDenHaag
Steutel4GBLV,KraaijeveldM
ronaldvdhart,KenniswerfZld
Confucius123,DrBertSmits
mrArtigo,Valentine_D_
Civilsitenl,shapingsociety
BrendaWalles,WURmarine
MarsOnTour,Valentine_D_
Goedlandt1,RijneEnergie
gineke66,KoeOpAvontuur
Marjet1981,Jossedevoogd
frankdeboosere,KlimaatLimburg
kolediana,SocEntNL
erotiekplezier,DrBertSmits
Klimaatplein,zepenexis
vgliatti,DrBertSmits
annmoens2,DrBertSmits
louis_ide,aktweetsbe
Comfirmnl,Ruemour_tweets
HansMeijl,MBeukeboom
ReinhardKlophau,VitaleGroenStad
duurzamestad,milieucentrum
MargotKiddo,bartcrezee
EddyBSB,DrBertSmits
decorrespondent,bartcrezee
vdBoschArjan,VitaleGroenStad
Jeschica,WURmarine
KlaasTjoelker,peerderijk
ynrosina,Energiecomm
Klimaatzuster,LarsMoratis
janlucvaneijk,jhnuijt
HarrieRosink,CarelvanSanten
kuchelnaar,DrBertSmits
weyerwin,DrBertSmits
WalterMaes2,DrBertSmits
fennystraat,Ruemour_tweets
Judo_Bakker,Willem_GP
MarianFlorcita,decorrespondent
MarleenBael,DrBertSmits
ERWINvdMEER,KenniswerfZld
SteffenVR,JoVandeurzen
Chris_uitAbcou,cint
cdenv,JoVandeurzen
Koen_Geens1,JoVandeurzen
genemuideninfo,AutoBreman
EelcoKaper,HalbeVogel
macharoesink,cint
macharoesink,jhnuijt
GKooger,Klimaatplein
ireneimmink,DrBertSmits
djventilator,decorrespondent
guyvansanden,DrBertSmits
iffinetwork,HalbeVogel
DuurzaamMOED,Brabant
RDamhof,Willem_GP
StichtingDePof,decorrespondent
LucianaBoutox,Valentine_D_
pboucneau,KlimaatLimburg
doemeeco,Willem_GP
Erdeme63,decorrespondent
GreenpeaceNL,Willem_GP
DerdeMj,Frans_Bosch
OU_natuur,LarsMoratis
CVDeals_BV,ZehnderGroupNed
lutgroenez,DrBertSmits
robvanderrijt,DuurzaamMOED
SpuwJeGal,DrBertSmits
BlacqDo,timbales
WURplant,WURglas
daltonwz,Valentine_D_
SGrooteboer,OudshoornEric
HermanHobert,AlfonsWispels
ank_blom,Valentine_D_
RCremers,Energiecomm
MMENR_nl,DuurzameD
MMENR_nl,DuurzameD
boefie888,Valentine_D_
pimbrussee,Valentine_D_
robvanderrijt,MVO_NL
spaatsie,Valentine_D_
Ron_Schippers,Valentine_D_
RenaatHuysmans,DrBertSmits
raklijnstra,Valentine_D_
Beautiful_Cups,DuurzameD
Anarchazazel,DrBertSmits
DOK41,KenniswerfZld
sHeerenLoo,OudshoornEric
Eric_Limburg,Klimaatzuster
UniversalAcid,DrBertSmits
jaaptoet,VitaleGroenStad
jassogne,DrBertSmits
jhnuijt,MBeukeboom
Frans_Bosch,DrBertSmits
hooftpijn,LokoCartoons
WUReconomic,MBeukeboom
ockhams,DrBertSmits
BetVam,DrBertSmits
GabyHemeryck,DrBertSmits
HylkevanderWal,LokoCartoons
LindaRijnsburge,VitaleGroenStad
2Plot,DrBertSmits
petervasselt,peerderijk
GeertGooris,DrBertSmits
JohanBranders,DrBertSmits
Judo_Bakker,Klimaatplein
MikeTekstBeeld,FleetwiseNL
Koenrobeys,DrBertSmits
GKooger,olino_duurzaam
sering80,Scapeler
VBenad,JoVandeurzen
DuurzOndern,Energiecomm
marcelvdakker,OverDWARSmag
norbert1972,peerderijk
Dagtes_F,WURmarine
AlexBeekhof,Frans_Bosch
martinlok,MVO_NL
BlackIkeEagle,Matthijs85
JohanBranders,Simon_Rozendaal
Jeroenvvl,RokusWijbrans
EvertvanVliet,Matthijs85
OlafterHaar,CarelvanSanten
HenkHerkink,CarelvanSanten
rufivanrooy,Klimaatplein
degroenezaak,Energiecomm
Startman72,CarelvanSanten
MDmmrs,suzanne_GL
MDmmrs,Energiecomm
Reeshofwarmte,RokusWijbrans
weliswaarbe,KarineMoykens
RiaenHenk,heuvel_stijn
ingridgiebels,olofvdgaag
jelkaboth,VitaleGroenStad
KarineMoykens,JoVandeurzen
KarineMoykens,ZorgAndersTv
NicoKrols,JoVandeurzen
RobertMolhoek,Simon_Rozendaal
Energiecomm,suzanne_GL
Brantsen,Simon_Rozendaal
ZORGMagazine,ZorgAndersTv
koen_leysen,GeertsmaBenno
Creteq_info,peerderijk
BolmanBas,WURmarine
wkkippen,peerderijk
sandervanwillem,KeesvDaalen
Energiecomm,peerderijk
enroctoob,timbales
enroctoob,timbales
j_savelkouls,nrgtransition
UniperNieuws,heuvel_stijn
liberaalvelsen,serverloos
Edvdijk,Frans_Bosch
bagvermeulen,remcovvd
LaurensKuijper,remcovvd
gfiwg,DuurzaamBV
Greatfacility,DuurzaamBV
urgenda,Klimaatplein
magdasmink,nrgtransition
somanagpo,Matthijs85
Buurtkanaal,VitaleGroenStad
BENG2030,DuurzameD
nicotillie72,VitaleGroenStad
mrpshropshire,Matthijs85
ThijsHaver,peerderijk
WimCombrink,GroenLinks020
WimCombrink,GroenLinks020
lenifillekes,windwens
wallfame,peerderijk
timbales,DuurzaamBV
RachelleEerhart,LarsMoratis
RobertGraat,VitaleGroenStad
FSCNL,Beautiful_Cups
w1con,DuurzaamBV
rayca_nat,Frans_Bosch
RegSag,Frans_Bosch
PauldeBeerD66,VitaleGroenStad
PBruynen,ockhams
freddyrosink,Frans_Bosch
vdborch,timbales
edemaeco,ockhams
TomasFriedhoff,peerderijk
jacht_en_boer,dirkkraakbra7
KNV,ad_toet
InekeDijkema1,SchokkendGronin
EllenOut,olino_duurzaam
navverheul,olino_duurzaam
frisian1,Scapeler
MMENR_nl,co2operate
nvde,olofvdgaag
Schaamteloos,widtvoet
GreetjeSchmitz,SchokkendGronin
DetlefvanVuuren,olofvdgaag
Albert_Faber,olofvdgaag
Wilma_Berends,olofvdgaag
tx_vincent,Frans_Bosch
GrootscholteBV,Klimaatplein
jatmoos,Frans_Bosch
paulinewes,peerderijk
Johnerous,Frans_Bosch
Brantsen,Frans_Bosch
rekenk4mer,Frans_Bosch
Klimaatplein,MVO_NL
HeleneBleyers,Frans_Bosch
Hans_C_G,Frans_Bosch
buddendorf,Frans_Bosch
McDonald_69,Frans_Bosch
NissanElectricC,EVConsultNL
Manud1966,Frans_Bosch
PieterBauwens,Frans_Bosch
ManonVogel1,henknijhof
tbeerda,SchokkendGronin
beawem_bea,YoeriAlbrecht
wscherphof,wolf_wim
GsSchutter,Martijn57
Ronald964,Klimaatplein
GsSchutter,gjvu
GsSchutter,gjvu
MollyMcBeal1,Frans_Bosch
WilbertHawinkel,tijd
bergbrabant,gjvu
JadwigajmvSolar,gjvu
suzanne_GL,GroenLinks020
georgeoomen,Voslin
NatuurIJburg,Voslin
atievanstijn,jan_sleen
CeesJan_Straver,gjvu
MrLucassen,Frans_Bosch
ThielenVan,Frans_Bosch
GemeenteLV,DagbladVoorburg
hansmarsk,AlfonsWispels
BuysseJan,Belfius
gezondNL,foodprintnl
Hartenn,AlfonsWispels
RitaCastele,Frans_Bosch
Slimdak010,milieucentrum
GroendeGrote,GroenLinks020
GroendeGrote,GroenLinks020
pboucneau,projecteco2eco
pboucneau,JanMeuleman1
A_Stuurman,SocEntNL
erikstrandstra,pinkpolitiek
henkschimmel,hotzehofstra
alert_blijven,Frans_Bosch
sering80,steltenpower
LeoNijhuis,steltenpower
JefHorians,Frans_Bosch
hhsenk,milieucentrum
Gebouwenzorg,mandywolthuis
Gebouwenzorg,AlfonsWispels
lynlyn332,Frans_Bosch
RvRavenstijn,Frans_Bosch
kolediana,SocEntNL
JoKer33817736,Frans_Bosch
doenormaal_1,Frans_Bosch
tegenwindvoorst,BolLeidschenVn
kirsti_zwaard,projecteco2eco
mbuelens,Frans_Bosch
TonWulfert,olino_duurzaam
petervasselt,EnergyParkZwan
TonWulfert,DSteenhorst
skender,Frans_Bosch
JJM36,Frans_Bosch
Lahqbar,Frans_Bosch
arnoudmolenaar,milieucentrum
TheaPotharst,pinkpolitiek
CO2voetafdruk,energienieuws
CO2voetafdruk,MVO_NL
pimbrussee,volkstribunaal
HaQuV,JurgenGreven
NIBC_Bank,DuurzBeleggen
DdDirkdijkstra,RutgervdNoort
WereldwinkelWbD,degroenezaak
PeterRas10,oneworldnl
DuitsP,9fornews
fozziebeertje,Frans_Bosch
franscolthoff,Transdev_NL
lutgroenez,Frans_Bosch
cockyschalk,gjvu
197winstonsmith,sanderphilipse
arjanvdhoogen,MVO_NL
Lampje87,gjvu
KolsuMaSD,Benjijduurzaam
RayLaenens,Frans_Bosch
MarcBecque,Frans_Bosch
EllenSikking,MVO_NL
MarcJacobs500,axelronse
JohanBranders,Frans_Bosch
Roosje_48,axelronse
Roosje_48,Frans_Bosch
GeertGooris,Frans_Bosch
WilliFunken,boerbewust
MirjamJochemsen,Klimaatplein
weyerwin,Frans_Bosch
liekecoonen,harrie_timmer
NVA_VlaParl,axelronse
Eduard_Mangal,sanderphilipse
kevbrijer,gjvu
fransmaes1,Frans_Bosch
Edvdijk,gjvu
SteinmetzNL,EVConsultNL
de_rixt,Frans_Bosch
GroeneTransitie,oneworldnl
FredvanHeukelom,gjvu
EmileElfferich,Frans_Bosch
SpuwJeGal,Frans_Bosch
volkinnood,Frans_Bosch
kritischewind,Frans_Bosch
Nibotnis,Frans_Bosch
JelleMarchand,RNTMSTR
geenhuizenn,arcadisnl
jmetske,HenriBontenbal
Aventus,kennisnet
cortenberghe,JackTsang42
Janlambr,Frans_Bosch
apvermeulen,AlfonsWispels
HennieArdesch,GerardBrummerII
TiemenBos,gjvu
mtvdlinde,Transdev_NL
CrniLug,Frans_Bosch
ockhams,Frans_Bosch
esbeitler,EW_Vakblad
GsSchutter,gjvu
FVerdonckt,wimvangils
MMennola,kennisnet
petervasselt,EnergyParkZwan
WURenvironment,Klimaatplein
hemaloart,ThermaflexNL
Klimaatplein,energienieuws
Klimaatplein,degroenezaak
Klimaatplein,ThermaflexNL
heuvel874,gjvu
JackMarsman,gjvu
peter_porto,gjvu
DickKraaij,gjvu
MarijkeVanElk,oneworldnl
joukjebroier,oneworldnl
egbertwessels1,AlfonsWispels
asito,DuurzaamMOED
bonzorino,LeoKnock
nellekooren,degroenezaak
HansaGreenTour,degroenezaak
NjordOskam,EW_Vakblad
yorian,degroenezaak
GianniNL,EW_Vakblad
HansVanHoof72,tijd
petervanlubs,AlfonsWispels
karinadehoog,PatrickVAssche
LaurievdBurg,FluxEnergie
OHartgerink,oneworldnl
EilandVoorne,olino_duurzaam
robin_willing,DuurzBeleggen
EcoMovehouten,oneworldnl
GerritRentier,HenriBontenbal
isa_roelandts,Yoorsonly
AqualabZuid,harrie_timmer
wiegerpollmann,EW_Vakblad
PaulGoudberg,AlfonsWispels
robvanderrijt,Man_Impact
pietvsz,AlfonsWispels
silleke23dingen,kennisnet
Eric_Limburg,olino_duurzaam
Scapeler,olino_duurzaam
Mastermind_Cat,SBergsma
DSteenhorst,olino_duurzaam
5673BZ,AlfonsWispels
FintelmanNL,olino_duurzaam
tomvandenberg,AlfonsWispels
haayman,olino_duurzaam
wouterveldhoen,AlfonsWispels
sweconederland,EW_Vakblad
Klimaatplein,Man_Impact
MathiasB9,tijd
bastaar,tijd
FreVanOverloop,tijd
janvos_pvda,timbales
LarsMoratis,Toekomstmakers
GIICoalition,DuurzBeleggen
justine_LBell,DuurzBeleggen
AFrentz,harrie_timmer
ClimateBonds,DuurzBeleggen
FairClimateFund,Klimaatplein
Unit_3947,Subaru_RoadTrip
marcelspaas,Klimaatplein
RHarmsenNWEA,apvermeulen
PoelmanJos,kennisnet
ecomeisje,Subaru_RoadTrip
M_R_TEMPEL,cmsNetherlands
anneliesbon,apjvalk
nynkeschaaf,VersBeton
NickyBouwers,hebawi
uhuraatje,Subaru_RoadTrip
binowage,marcelwubbolts
Klimaatplein,DuurzaamMOED
heerlijkheiddeh,keeskodde_GP
Hans_C_G,9fornews
naald,9fornews
toinecooijmans,Klimaatplein
winnydijkstra,RutgervdNoort
broekvdp,marcelwubbolts
V1ctorW,RutgervdNoort
enzp,apjvalk
FrieseMilieuFed,reenergylemmer
rvermin,HenriBontenbal
Dutchgaskvgn,reneleegte
JoopKetelaers,HenriBontenbal
TiemenBos,fransweisglas
LeQuWeet,JurgenGreven
KOffringa,janrotmans
WijaKoers,NicoleSchoutens
marcvolder,Klimaatplein
kjihgfe,FritsvdSchans
BeterNRE,FleurBesters
aireasnl,Scapeler
Climate_Express,ZeronautBe
Edvdijk,gjvu
MarianVolkers,HenriBontenbal
erwingeo,apjvalk
bierkoerierhier,apjvalk
marjanminnesma,HenriBontenbal
TegenwindAlblas,bergbrabant
rockall158,MDVisserij
ArnoUijlenhoet,JackTsang42
Melody2Memory,apjvalk
C_Hermus,MISCQpapier
ronaldh,steeph
Jirikis1,JackTsang42
HeinvElderen,MISCQpapier
2Ls1G,apjvalk
anjosje2,pulpdeluukse
nieuwemarlean,Toekomstmakers
GoaTranceNET,apjvalk
ikcirculeer,JanTerlouw
ikcirculeer,JanTerlouw
barracudawiep,wmeijer4
BarthCarlo,bergbrabant
duurzaaminnl,Warmetruiendag
Jovankavis,APostmaSmeets
rvdkooy,apjvalk
GijsWeenink,suzanne_GL
hanstimmers,nrgtransition
JoKer33817736,RutgervdNoort
KameroenNet,sfoodsupply
bbuizer,sfoodsupply
Eric_Limburg,HenriBontenbal
josgrafe,SannieVerweij
VanManenJurAdv,apjvalk
rinzesjoerd,apjvalk
henknieboer,apjvalk
tomjanmeeus,apjvalk
bertvis,meschuurman
elisabethbv,MDVisserij
ebuising,apjvalk
aukeappelman,apjvalk
NWEAWind,HenriBontenbal
GreenOfficeRUG,hotzehofstra
vetteviscom,hotzehofstra
jelle6789,apjvalk
peterdavina,apjvalk
Martin2Bakker,apjvalk
arjanvdhoogen,HenriBontenbal
VeenMinke,apjvalk
WillekeBakker,apjvalk
PatrickvDomburg,FotografieJordi
Maarten_vw,apjvalk
DuurzaaminStaal,arjanvdhoogen
jpmroland,apjvalk
astro_andre,apjvalk
fvdstadt,apjvalk
DominiqueVanpee,apjvalk
focusonamerica,apjvalk
RikSeveke,eelcobvr
Ronbooij81,apjvalk
PMPDuurzaamverz,pulpdeluukse
Klimaatplein,SannieVerweij
zorgsector,apjvalk
Krakehoeve,markheijmans
ArnoudVbrief,apjvalk
Neeeltje,apjvalk
josepepels,JanMuijtjens
pgosselink,Brabant
benboks,henknijhof
JoMaas,henknijhof
D66nuvooruit,D66LarenNH
wallie011067,keeskodde_GP
JrgnHoogendoorn,VersBeton
Mr_Incalculable,gjvu
D66LarenNH,D66LarenNH
quartierdetweet,JurgenGreven
ReneDercksen,gjvu
vincedevos,reneleegte
GsSchutter,JurgenGreven
PaganRene,co2ntramine
JokevanWensem,linda_nol
Twingetwing,RijneEnergie
RuudvanTendris,Toekomstmakers
Jeannet07399596,JurgenGreven
Petertje07,JurgenGreven
arjanvdhoogen,timbales
Jansons19,JurgenGreven
666budel,JurgenGreven
mellowmenno,AlfonsWispels
PatriesFaaij,JurgenGreven
MevrouwVanWijk,JurgenGreven
famwer,dekennisvannu
Klimaatplein,DuurzaamNieuws
djventilator,Toekomstmakers
fschuurk,timbales
3MOOostflakkee,gjvu
DuurzaamHouten,meschuurman
rjrietveldt,Toekomstmakers
L1vR,9fornews
El_Griego79,Toekomstmakers
Henkmuis16,Toekomstmakers
hemaloart,D2Emag
RTLZ,Toekomstmakers
RTLnieuws,Toekomstmakers
lisaboerop,Toekomstmakers
Tijgernest,Chem2W
PouderoyenBV,Brabant
arjenUSA,eelcobvr
Klimaatplein,meschuurman
AcceleratioEU,meschuurman
EelcoKaper,meschuurman
cecilecusters,RijneEnergie
Karlanig,Brabant
FannoreFerazhin,macharoesink
Hubrien,BelegGroenGoud
JoannePenning,meschuurman
jvandiepen,meschuurman
Klimaatzuster,timbales
AlexanderCram,WattisDuurzaam
Klimaatplein,Oss_KE
GsSchutter,climategateNL
CO2Adviseurs,CO2Adviseurs
GroeneZaken,CO2Adviseurs
GsSchutter,climategateNL
RobertMolhoek,climategateNL
PAvBoesschoten,nrgtransition
energybattle1,Warmetruiendag
KorrieLouwes,VersBeton
MikeTekstBeeld,FleetwiseNL
BKiekendief,rekenk4mer
Typisch_Henk,climategateNL
BLIKOPENER333,wmeijer4
robvanderrijt,LarsMoratis
MVO_NL,meschuurman
FryskeFisker,climategateNL
1_Vagabond,gjvu
EMK2017,climategateNL
focusonamerica,VictorVlam
SadeAdeolu,canvastv
w1con,WakaWakaNL
_Zero_e_,LarsMoratis
diwilik,keeskodde_GP
EricvKaathoven,dekennisvannu
rafios,9fornews
edkloosterhuis,9fornews
RuudGrondel,LarsMoratis
mcmkuijpers,WakaWakaNL
Klimaatplein,LarsMoratis
milieudefensie,janrotmans
riekswestrik,VersBeton
janinecooijmans,keeskodde_GP
janinecooijmans,keeskodde_GP
jaappannekoek,Klimaatplein
MaritOverbeek,VersBeton
edkloosterhuis,keeskodde_GP
GreenpeaceNL,keeskodde_GP
SolarusSunpower,janrotmans
tegenwindvoorst,ADZoetermeer
petertbier,gjvu
statustaxatie,PH7makelaardij
MrsGreenseat,haydeedeloof
veranderwens,PH7makelaardij
HIERklimaat,Klimaatplein
RVO_Innovatie,jurrvandalen
Jonker_FJ,janrotmans
happybandits,steeph
INTERREGTweets,jurrvandalen
SACMLavrijssen,reneleegte
jeroen1huizinga,gjvu
TtBrinck,WattisDuurzaam
NWEAWind,pulpdeluukse
Emesu50,WakaWakaNL
Coneco_nl,Coneco_nl
peterpolder,janrotmans
Judo_Bakker,bobcrebas
w1con,janrotmans
Evert_MD,Willem_GP
JasperDru,canvastv
DuurzaamAzie,WakaWakaNL
urgenda,WakaWakaNL
garfieldenpluis,Klimaatplein
RdamKlimaat,Willem_GP
secrNatuurMo,Klimaatplein
VitaleGroenStad,groeninarnhem
JacomijnP,keeskodde_GP
huibertbijland,Klimaatplein
Soulgood,Brabant
Climate_Express,liescorneillie
djventilator,FluxEnergie
GSROtweet,nrgtransition
vosje62,keeskodde_GP
vosje62,keeskodde_GP
peterpolder,FluxEnergie
LetsWebShop,DuurzaamBV
LarsMoratis,TgthrNL
Freek_MD,Willem_GP
enroctoob,nrgtransition
groeninarnhem,Boomfeestdag
groeninarnhem,co2operate
ARakhorst,dzh_nl
BENG2030,Brabant
Klimaatplein,Brabant
elmervankrimpen,HansvanderSpek
Klimaatplein,DZyzzion
yorian,nrgtransition
TreesForAll,co2operate
Klimaatzuster,Warmetruiendag
enroctoob,bagvermeulen
EerlijkWinkelen,Warmetruiendag
SmartCityNED,DuurzaamBV
arjanvdhoogen,RijneEnergie
pluraal,DuurzaamBV
AgrifoodCapital,Brabant
HielkeBandstra,gjvu
TX01HB,gjvu
Edvdijk,gjvu
Klaashaasjes,RijneEnergie
SpeltPeter,RijneEnergie
O_316,bergbrabant
O_316,de_rixt
O_316,BewonerVeenkolo
Energie_U,RijneEnergie
marjanminnesma,EnergyParkZwan
AriePaap,Fietsreiziger
jokevanameijde,volgzwijn
RemcoWagemakers,BionextTweets
NWEAWind,RijneEnergie
SustainableJunk,BionextTweets
CO2voetafdruk,Brabant
JosOlivier,janrotmans
TNeijs,Brabant
JosOlivier,janrotmans
KarlVoshaart,de_rixt
C_Smart_Climate,ecoArtistLynch
iemkjedeboer,Boerburgertweet
Walter07071960,bergbrabant
vdBoschArjan,LeoNijhuis
zonnevijlle1,reneleegte
de_windvogel,apvermeulen
Johnerous,bergbrabant
ddjab,Brabant
FB_Groningen,jodysteyls
groeneMarkus,Willem_GP
LuijkHans,bergbrabant
jeroen_mulder,janrotmans
OPJosvandenBerg,rekenk4mer
MauritsGroen,WakaWakaNL
NathalieRoman,GroeneZaken
meeus_kim,McMarghem
renepeters,reneleegte
frankerwood,janrotmans
gemeenteHbeek,Brabant
TremblinTony,bergbrabant
rennemark,janrotmans
SACMLavrijssen,WRRDuurzaamheid
Klimaatverbond,WRRDuurzaamheid
AljeZandt,RijkeWaddenzee
AngeliqueWinder,bergbrabant
rekenk4mer,bergbrabant
4d35ddbdc6bc486,EuWaanzin
EdwinMermans,Brabant
gjvu,bergbrabant
PJMdeGoede,WRRDuurzaamheid
BHolierhoek,RijkeWaddenzee
WRRDuurzaamheid,WRRDuurzaamheid
M_Hodzelmans,Brabant
BGAdvise,bergbrabant
mama_van_jersey,AlfonsWispels
NWEAWind,apvermeulen
klink_marcel,GroeneZaken
GerjaKoldenhof,reneleegte
tvdloo52,Brabant
debackerphil,McMarghem
robvanderrijt,Brabant
MidpointBrabant,Brabant
erikvisser,RijkeWaddenzee
fiederels,RijkeWaddenzee
txgids,RijkeWaddenzee
VWGTexel,RijkeWaddenzee
SnijderRian,Brabant
AdFaasse,janrotmans
RenaatHuysmans,bergbrabant
AKolhorn,BionextTweets
sabine_dumoulin,EDFLuminus
AEGoedbloed,janrotmans
BMoeskops,3xdbe
Lhaverans,3xdbe
MissTie,3xdbe
Judo_Bakker,Willem_GP
SmartCityNED,janrotmans
Thijsdev,Willem_GP
alfred_jodokus,bergbrabant
SanderUiterwijk,BionextTweets
weijers3,lbergkamp
weeverevolve,janrotmans
zorrovos,nrc
ahtlam,bergbrabant
ockhams,bergbrabant
rboere79,reneleegte
LucvanIersel,Brabant
ellen_oomen,BionextTweets
bagvermeulen,reneleegte
Eric_Limburg,Alfred_Meester
BlacqDo,reneleegte
BlacqDo,bagvermeulen
timbales,TgthrNL
peterpolder,Willem_GP
filosofieblog,norbert1972
EBOverijssel,NEOverijssel
HSchouffoer,janrotmans
magdasmink,janrotmans
swagemakers3,Alfred_Meester
ssteverlinck,leuven2030
marktwain2,Alfred_Meester
Inge_Happe,Alfred_Meester
EnergyHubWest,reneleegte
enroctoob,reneleegte
JanVaneessen,janrotmans
bloemekets,jodysteyls
AngeliqueWinder,AlfonsWispels
Bijnagte,janrotmans
Vinnie_80,ockhams
connie_brouwer,janrotmans
AmazingChevVolt,apvermeulen
JuriePost,gjvu
UniperNieuws,reneleegte
GroeneZakenDeal,GroeneZaken
xlpiano,janrotmans
btkrth,janrotmans
ivoboode,janrotmans
heerlijkheiddeh,BionextTweets
yvanlunzen,gjvu
derkhueting,Klimaatplein
D66nuvooruit,persd66brussel
sering80,Scapeler
xynyxs,Jurjenvdb
sering80,frisian1
_Zero_e_,Klimaatplein
D66_Rhenen,persd66brussel
chiene2,frisian1
FietsersbondBE,jodysteyls
MarleenMeijers,BionextTweets
NandaOudejans,Jurjenvdb
BernardGrunn,Motorsport_NL
jdblanken,persd66brussel
wallie011067,NEOverijssel
AnsRobben,CerilKatuin
enroctoob,bagvermeulen
mayaVirg,JadeOudejans
NicoletteBlom,OVnieuwsINFO
Klimaatverbond,ankevanhal
yvanlunzen,bleekerk
yvanlunzen,bleekerk
wijnt,EDFLuminus
HennieArdesch,GerardBrummerII
karelh,marcelwubbolts
MargrethaG,rekenk4mer
levensverhaalES,milieudefensie
StefanW74,nrgtransition
rolfschipper,keeskodde_GP
martijnstorms,volgzwijn
IGG_NL,MBeukeboom
ThomasReitsma1,hgbrink
martijnduijndam,hgbrink
Klimaatcombi,MilieuCompact
AngeliqueWinder,frisian1
JuliaWilliams40,paulinewes
Scapeler,Cumulus1966
enroctoob,nrgtransition
Tijdo,timbales
Johan_Buys,Boerenbond
w1con,AlfonsWispels
MatNicaise,3xdbe
LindaJeffreys,AnjaKolibri
SOMABedrijfsopl,OliviervanDet
GDuvillier,PaulSoete
Bloemoen,Tonzon
leontebbens,AlfonsWispels
Fietsreiziger,AnjaKolibri
Edvdijk,gjvu
carbonfreeda,AnjaKolibri
af7qp,AnjaKolibri
ElwellGraham,AnjaKolibri
danielmclion,Tonzon
FredvanHeukelom,gjvu
THX113812,gjvu
DObservator,volgzwijn
volgvarken,volgzwijn
PolitiekTweetNL,D66LarenNH
PieterGrootendo,Klimaatzuster
HenkLinnemann,de_rixt
sstuart57,de_rixt
BomenAchterhoek,WillemFerwerda
BewonerVeenkolo,de_rixt
BreukersGerjan,AdindaLodders
dvlankeren,Klimaatzuster
ABCDEKoffie,dzjr74
Muizebeestje,AlfonsWispels
kees_ontwerpt,DSteenhorst
Warmetruiendag,ankevanhal
sstuart57,rekenk4mer
Gerco74,dzjr74
ZuilenV,dzjr74
AngeliqueWinder,Scapeler
Sabio_VD,Tonzon
D66nuvooruit,D66LarenNH
tegenwindvoorst,de_rixt
InfoLegtenberg,gjvu
ThomasvanBelzen,lamerswim
krommenie,Tonzon
MRoijakkers,Tonzon
RJPlaizier,AlfonsWispels
ACEA_eu,wijnandj
Peet040,AlfonsWispels
weyerwin,gjvu
GsSchutter,gjvu
jos_wynants,gjvu
LeoNijhuis,steltenpower
Levagoprojekt,Tonzon
GsSchutter,gjvu
marijearah,NWEAWind
Johnerous,rekenk4mer
riskparty63,rekenk4mer
scheven1ngen,AlfonsWispels
LucAdolfse,WillemFerwerda
KellyRoept,gjvu
Reeshofwarmte,berendpotjer
GsSchutter,gjvu
GsSchutter,johan_emmens
GuillaumeGoijen,mikepapot
sextadatarde,BrigadierPoez
jeroen1huizinga,rekenk4mer
ECF4U,AlfonsWispels
addyrutgers,berendpotjer
dirkkraakbra7,rekenk4mer
krispijnbeek,berendpotjer
pientka_marleen,Scapeler
kla_mar,gjvu
Greet29Greet,rekenk4mer
HielkeBandstra,gjvu
Mr_Incalculable,gjvu
Greet29Greet,de_rixt
Greet29Greet,de_rixt
BriefAanJou,WoestereWillem
HansMeijl,marcelwubbolts
PeHaring,mikepapot
MennoLudriks,de_rixt
Sandra_de_Haan,AlfonsWispels
LeoSonneveld,HarrieMiedema
dinglesprout,PWoodfall
erikerdbrink,gjvu
Edvdijk,gjvu
henk_ram,gjvu
ReneDercksen,gjvu
FCriticalThink,PWoodfall
AngeliqueWinder,frisian1
DZyzzion,mikepapot
Egbert1948,MaartenVonk
bennas,aireasnl
RvRavenstijn,ockhams
podevyns,ockhams
KOffringa,AlfonsWispels
sycrett,MaartenVonk
GroenOpgewekt,AlfonsWispels
ahtlam,gjvu
ikroepook,MennoOng
Frans_Bosch,gjvu
Tommietomt,AlfonsWispels
TsjerkTerp,MDVisserij
sstuart57,gjvu
AngeliqueWinder,Scapeler
vrijdenkend,d_e_mol
KernwaardeGroen,paulinewes
renevanmanen,gjvu
ronaldbronsink1,Tonzon
stophoutrooknu,Scapeler
WesselingErik,johan_emmens
riesbergen,AlfonsWispels
Edvdijk,gjvu
MaartenvBiezen,paulinewes
60_henk,gjvu
dedijkvanvier,APANO55
krispijnbeek,addyrutgers
Hubert_zelf,AlfonsWispels
mcmkuijpers,AlfonsWispels
mcmkuijpers,AlfonsWispels
ondeRob,ZanBizar
BusserCristel,GKooger
wasbolletje,gjvu
urgenda,GKooger
RoseAnnLumChou,AlfonsWispels
RuudvanTendris,mikepapot
elisabethswart,HenkDaalder
MISCQpapier,TrouwGroen
ArthurGysels,erikdw001
Deduge,wakarimassen
SFO_GO,MDVisserij
drechtstadsboer,WillemFerwerda
Meerwind_HLMMR,AlfonsWispels
steltenpower,AlfonsWispels
Edvdijk,APANO55
